Date,Network,Profile,Audience,Net Audience Growth,Audience Gained,Sent Messages (Total),Published Posts (Total),Received Messages (Total),Impressions,Video Views,Engagements,Engagement Rate (per Impression),Reactions,Comments,Shares,Post Link Clicks,Saves,Other Post Clicks,Other Engagements,Sent Tweets (Twitter),Sent Quote Tweets (Twitter),Sent @Replies (Twitter),Sent Direct Messages (Twitter),Sent Posts (Facebook),Sent Ad Posts (Facebook),Sent Comments (Facebook),Sent Ad Comments (Facebook),Sent Private Messages (Facebook),Sent Posts (Instagram),Sent Stories (Instagram),Sent Reels (Instagram),Sent Comments (Instagram),Sent Ad Comments (Instagram),Sent Posts (LinkedIn),Sent Comments (LinkedIn),Sent Videos (TikTok),Sent Comments (TikTok),Sent Pins (Pinterest),Sent Saves (Pinterest),Sent Videos (YouTube),Received Mentions (Twitter),Received Direct Messages (Twitter),Received Retweets (Twitter),Received Quote Tweets (Twitter),Received New Follower Alerts (Twitter),Received Wall Posts (Facebook),Received Comments (Facebook),Received Ad Comments (Facebook),Received Private Messages (Facebook),Received Comments (Instagram),Received Ad Comments (Instagram),Received Mentions (Instagram),Received Media Tags (Instagram),Received Comments (LinkedIn),Sent Direct Messages (Instagram),Received Direct Messages (Instagram),Received Comments (TikTok)
4/1/2022,Twitter,'@citizenconnect3,222,1,1,3,3,4,333,41,12,3.60%,6,0,1,1,,0,4,3,0,0,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,
4/1/2022,Facebook,Citizenconnect.us,271,7,8,3,3,1,"6,279",32,25,0.40%,15,1,0,0,,9,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
4/1/2022,Instagram,citizenconnectus,291,0,0,4,3,2,69,9,9,13.04%,7,2,,,0,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
4/1/2022,LinkedIn,CitizenConnectUS,35,0,0,3,3,0,11,3,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
4/2/2022,Twitter,'@citizenconnect3,223,1,1,1,1,2,244,38,7,2.87%,4,0,1,0,,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
4/2/2022,Facebook,Citizenconnect.us,274,3,3,1,1,1,"10,541",0,25,0.24%,10,1,0,0,,14,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
4/2/2022,Instagram,citizenconnectus,291,0,0,1,1,1,62,2,5,8.06%,4,1,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
4/2/2022,LinkedIn,CitizenConnectUS,35,0,0,1,1,0,9,1,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
4/3/2022,Twitter,'@citizenconnect3,222,-1,0,0,,1,41,8,1,2.44%,0,0,0,0,,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
4/3/2022,Facebook,Citizenconnect.us,274,0,1,0,0,0,"5,291",12,29,0.55%,8,0,8,0,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
