Date,Network,Profile,Audience,Net Audience Growth,Audience Gained,Sent Messages (Total),Published Posts (Total),Received Messages (Total),Impressions,Video Views,Engagements,Engagement Rate (per Impression),Reactions,Comments,Shares,Post Link Clicks,Saves,Other Post Clicks,Other Engagements,Sent Tweets (Twitter),Sent Quote Tweets (Twitter),Sent @Replies (Twitter),Sent Direct Messages (Twitter),Sent Posts (Facebook),Sent Ad Posts (Facebook),Sent Comments (Facebook),Sent Ad Comments (Facebook),Sent Private Messages (Facebook),Sent Posts (Instagram),Sent Stories (Instagram),Sent Reels (Instagram),Sent Comments (Instagram),Sent Ad Comments (Instagram),Sent Posts (LinkedIn),Sent Comments (LinkedIn),Sent Videos (TikTok),Sent Comments (TikTok),Sent Pins (Pinterest),Sent Saves (Pinterest),Sent Videos (YouTube),Received Mentions (Twitter),Received Direct Messages (Twitter),Received Retweets (Twitter),Received Quote Tweets (Twitter),Received New Follower Alerts (Twitter),Received Wall Posts (Facebook),Received Comments (Facebook),Received Ad Comments (Facebook),Received Private Messages (Facebook),Received Comments (Instagram),Received Ad Comments (Instagram),Received Mentions (Instagram),Received Media Tags (Instagram),Received Comments (LinkedIn),Sent Direct Messages (Instagram),Received Direct Messages (Instagram),Received Comments (TikTok)
7/1/2022,Twitter,'@citizenconnect3,322,2,2,4,4,3,95,0,4,4.21%,2,0,0,0,,0,2,4,0,0,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,
7/1/2022,Facebook,Citizenconnect.us,472,1,2,4,4,0,128,3,0,0%,0,0,0,0,,0,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2022,Instagram,citizenconnectus,353,-2,0,4,4,0,63,0,3,4.76%,3,0,,,0,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2022,LinkedIn,CitizenConnectUS,45,0,0,4,4,0,21,0,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
7/2/2022,Twitter,'@citizenconnect3,324,2,2,0,,5,96,0,11,11.46%,5,0,2,0,,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,
7/2/2022,Facebook,Citizenconnect.us,475,3,3,0,0,0,47,0,0,0%,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2022,Instagram,citizenconnectus,353,0,0,0,0,0,11,0,2,18.18%,2,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2022,LinkedIn,CitizenConnectUS,45,0,0,0,0,0,6,0,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
7/3/2022,Twitter,'@citizenconnect3,327,3,3,0,,1,31,0,1,3.23%,1,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
7/3/2022,Facebook,Citizenconnect.us,480,5,6,0,0,0,59,4,2,3.39%,1,0,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2022,Instagram,citizenconnectus,354,1,1,0,0,0,1,0,0,0%,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2022,LinkedIn,CitizenConnectUS,45,0,0,0,0,0,1,0,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
7/4/2022,Twitter,'@citizenconnect3,329,2,2,3,3,3,80,13,7,8.75%,1,0,0,2,,0,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
7/4/2022,Facebook,Citizenconnect.us,481,1,2,3,3,0,89,13,6,6.74%,4,0,0,0,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2022,Instagram,citizenconnectus,354,0,0,3,3,0,52,4,3,5.77%,3,0,,,0,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2022,LinkedIn,CitizenConnectUS,45,0,0,3,3,0,15,2,0,0%,0,0,0,0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
7/5/2022,Twitter,'@citizenconnect3,331,2,2,4,4,0,120,0,2,1.67%,1,0,0,0,,0,1,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2022,Facebook,Citizenconnect.us,480,-1,1,4,4,0,107,8,2,1.87%,1,0,0,0,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2022,Instagram,citizenconnectus,354,0,0,4,4,0,106,9,14,13.21%,13,0,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
